,firstDay,lastDay,NEds,NDays,NActDays,NPages,NPcreated,pagesWomen,wikiprojWomen,ns_user,ns_wikipedia,ns_talk,ns_userTalk,ns_content,gender
1,0.3099659351694808,0.9053164129599713,0.09419729990290622,0.2308360284313002,0.8846034621585306,0.009701500880869459,-0.12267496712729818,-0.08239269633304708,-0.02467416876593574,0.10401380822991521,0.3114399917125136,0.6173214149518896,1.0090828236417708,0.0006745016899744217,0
4,-0.8277106671203004,-0.7881448843747874,-0.23689114467587966,0.5699131779640935,-0.41755272844056734,-0.16824457344164656,-0.14621512630192476,-0.08239269633304708,-0.02467416876593574,-0.19633369563915185,-0.11479512108831687,-0.20854367278739783,-0.13226776763655243,-0.2311908614467261,0
6,0.8901810023372692,-1.3831447996545676,-0.25318890919584314,-1.5169457467542897,-0.4710293687115775,-0.20162809157250383,-0.14285224641983527,-0.08239269633304708,-0.02467416876593574,-0.2612736964757069,-0.13262922622642692,-0.21318336429155113,-0.16529720596936565,-0.2434892364362965,0
10,0.31565431818092965,0.34464341586940933,-0.2399710371835893,-0.0558450935798694,-0.3827929122644107,-0.19298414491362115,-0.14621512630192476,-0.08239269633304708,-0.02467416876593574,-0.15574619511630494,-0.13262922622642692,-0.07399261916695214,-0.12492789245148284,-0.23971773477282823,0
14,0.045456125137106645,-0.23891419334729808,-0.2501090166881335,-0.21527872018138147,-0.3881405762915117,-0.1953686819229681,-0.14621512630192476,-0.08239269633304708,-0.02467416876593574,-0.16792244527315903,-0.13262922622642692,-0.23174213030816435,-0.17630701874697005,-0.2446370847686564,0
15,-0.2418072169410631,-1.9266543376505205,-0.2495957012701819,-0.6539083220052597,-0.4282480564947694,-0.18940733939960072,-0.14621512630192476,-0.08239269633304708,-0.02467416876593574,-0.22880369605742937,-0.13262922622642692,-0.17606583225832473,-0.16896714356190046,-0.24152149643796522,0
20,1.7462826455603295,0.9167587190230441,-0.21610187024883962,-1.2272705660275989,-0.24375364755978424,-0.1375436594463046,-0.13948936653774574,-0.08239269633304708,-0.02467416876593574,-0.29374369689398444,-0.13084581571261591,-0.19926428977909125,-0.15061745559922646,-0.19691938980912327,0
24,1.1603791953810922,-0.8396352616586146,-0.24279427198232312,-1.5229338641853325,-0.48439852877933004,-0.1780807886052027,-0.14621512630192476,-0.08239269633304708,-0.02467416876593574,-0.28562619678941503,-0.1254955841711829,-0.23174213030816435,-0.17447204995070267,-0.23086290478033755,0
25,0.025546784597035473,-0.23319304031576174,-0.21700017223025492,-0.05509657890098906,-0.06728073466545063,-0.11906349762386575,-0.13948936653774574,-0.08239269633304708,-0.02467416876593574,-0.2978024469462691,-0.13262922622642692,-0.20854367278739783,-0.17630701874697005,-0.213645179794939,0
27,1.7519710285717784,0.8938741068968986,-0.25126397637852466,-1.364997266941581,-0.45498637663027447,-0.2028203600771773,-0.14621512630192476,-0.08239269633304708,-0.02467416876593574,-0.08268869417518053,-0.13262922622642692,-0.21782305579570443,-0.16346223717309827,-0.24824460809893037,0
29,1.7519710285717784,0.9167587190230441,-0.24240928541885942,-1.2834091669436243,-0.3747714162237592,-0.18553246675941193,-0.10586056771685062,-0.08239269633304708,-0.02467416876593574,-0.2978024469462691,-0.13084581571261591,-0.23174213030816435,-0.17080211235816786,-0.22725538145006358,0
